Passage,Passage_Text,Character_Count
2p.N1.1RT,It is early in the morning.,27
2p.N1.2RT,The alarm clock rings relentlessly.,35
2p.N1.3RT,"You have had a rough night again, waking up several times.",58
2p.N1.4RT,Grumbling you make your way to the bathroom and take a look at yourself in the mirror.,86
2p.N1.5RT,Bags under your eyes reflect the fact that you haven’t slept normally for days.,79
2p.N1.6RT,The thought of going to work today makes you feel exhausted.,60
2p.N2.1RT,You have not been out of the house for quite a while.,53
2p.N2.2RT,There is no one around to meet and you do not have any idea what to do with the day.,84
2p.N2.3RT,You look at some pictures of some friends and some nice times.,62
2p.N2.4RT,"You look around the room, which seems now more empty and bigger than usual.",75
2p.N2.5RT,Looking at the pictures makes you feel more lonelier.,53
2p.N3.1RT,"With a short scream, you wake up.",33
2p.N3.2RT,It has been a long time since you last remembered a dream.,58
2p.N3.3RT,You feel the cold sweat on your forehead.,41
2p.N3.4RT,You had been trying to fight a dark creature but suddenly a chase began and you had nowhere to go.,98
2p.N3.5RT,The last thing you can remember is the fall into complete darkness.,67
2p.N3.6RT,Thinking about the dream leaves you troubled.,45
2p.N4.1RT,You just want to forget this day!,33
2p.N4.2RT,You cannot believe that all the people in the city have seen you running around like a moron.,93
2p.N4.3RT,"Even worse, it had to be your colleague telling you that you should check what was stuck on your back.",102
2p.N4.4RT,You really do not want to go to work tomorrow.,46
2p.N4.5RT,The situation couldn’t have been more embarrassing for you. ,60
2p.N5.1RT,You cannot believe that it is happening again.,46
2p.N5.2RT,Only last week you had trouble finding the keys. ,49
2p.N5.3RT,"Today you have already been searching for two hours, but still no sign of them.",79
2p.N5.4RT,You were sure you left them in their usual spot.,48
2p.N5.5RT,"Not having found anything, you feel frustrated.",47
2p.N6.1RT,You have never read a book that,31
2p.N6.2RT,"From the beginning, you could not put it down, because you empathize with the main character.",93
2p.N6.3RT,You have been enjoying every minute of reading and shared every thrill described by the author. ,96
2p.N6.4RT,"However, the death of the main character at the end was not only a surprise, but a disaster.",92
2p.N6.5RT,"After having closed the book, you feel miserable.",49
2p.N7.1RT,"When you opened the fridge today, a very unusual smell filled the room.",71
2p.N7.2RT,"After some inspection, you find a piece of moldy cheese at the back of the lowest level.",88
2p.N7.3RT,"It is unbelievable, as it must have been lying there for more than a month.",75
2p.N7.4RT,The smell and the look make you feel disgusted by the prospect of lunch. ,73
2p.N8.1RT,Yesterday you got some really bad news.,39
2p.N8.2RT,You still cannot believe that someone you know was involved in the accident that was reported on the radio.,107
2p.N8.3RT,The news of her death hits you hard and you have to sit down.,61
2p.N8.4RT,You are feeling paralyzed by grief.,35
2p.N9.1RT,The pain was just too intense.,30
2p.N9.2RT,First you thought that you could ignore it but now you are not able to concentrate on anything else.,100
2p.N9.3RT,"The headache started early in the morning and just would not go away, despite painkillers.",90
2p.N9.4RT,You feel it getting worse every minute.,39
2p.N9.5RT,You are desperate and consider going home. ,43
2p.N10.1RT,You cannot wait to hear the final results. ,43
2p.N10.2RT,Nothing can put your mind at ease.,34
2p.N10.3RT,The time just refuses to pass by. ,34
2p.N10.4RT,You were told you would get notified by the end of this afternoon and the clock is already approaching 5pm.,107
2p.N10.5RT,You are getting more and more nervous and it is too hard to keep sitting still. ,80
2p.N11.1RT,You knew that you would lose this round too. ,45
2p.N11.2RT,You were not in the mood to play this game anyway. ,51
2p.N11.3RT,"It was clear that you could have stopped half way through, but you were made to keep on playing. ",97
2p.N11.4RT,What a waste of time.,21
2p.N11.5RT,"Angrily, you put your last pieces back into the box.",52
2p.N12.1RT,You really don’t know what to do. ,34
2p.N12.2RT,You have been friends with this couple for a long time but now they have suddenly broken up. ,93
2p.N12.3RT,"You knew they have had some problems before, but you did not realize that it was that serious. ",95
2p.N12.4RT,"They do not talk anymore, and both have asked you to be on their side. ",71
2p.N12.5RT,But they also use you as a medium of communication. ,52
2p.N12.6RT,You feel like you will have to decide between them. ,52
2p.N12.7RT,"Feeling conflicted, you look at old pictures of you all together. ",66
3pF.N1.1RT,It is early in the morning.,27
3pF.N1.2RT,The alarm clock rings relentlessly.,35
3pF.N1.3RT,"Rebecca has had a rough night again, waking up several times.",61
3pF.N1.4RT,Grumbling she makes her way to the bathroom and takes a look at herself in the mirror.,86
3pF.N1.5RT,Bags under her eyes reflect the fact that she hasn't slept normally for days.,77
3pF.N1.6RT,The thought of going to work today makes her feel exhausted.,60
3pF.N2.1RT,Sarah has not been out of the house for quite a while.,54
3pF.N2.2RT,There is no one around to meet and she does not have any idea what to do with the day.,86
3pF.N2.3RT,She looks at some pictures of some friends and some nice times.,63
3pF.N2.4RT,"She looks around the room, which seems now more empty and bigger than usual.",76
3pF.N2.5RT,Looking at the pictures makes her feel more lonelier.,53
3pF.N3.1RT,"With a short scream, Leona wakes up.",36
3pF.N3.2RT,It has been a long time since she last remembered a dream.,58
3pF.N3.3RT,She feels the cold sweat on her forehead.,41
3pF.N3.4RT,She had been trying to fight a dark creature but suddenly a chase began and she had nowhere to go.,98
3pF.N3.5RT,The last thing she can remember is the fall into complete darkness.,67
3pF.N3.6RT,Thinking about the dream leaves her troubled.,45
3pF.N4.1RT,Mary just wants to forget this day!,35
3pF.N4.2RT,She cannot believe that all the people in the city have seen her running around like a moron.,93
3pF.N4.3RT,"Even worse, it had to be her colleague telling her that she should check what was stuck on her back.",100
3pF.N4.4RT,She really does not want to go to work tomorrow.,48
3pF.N4.5RT,The situation couldn’t have been more embarrassing for her. ,60
3pF.N5.1RT,Roberta cannot believe that it is happening again.,50
3pF.N5.2RT,Only last week she had trouble finding the keys. ,49
3pF.N5.3RT,"Today she already been searching for two hours, but still no sign of them.",74
3pF.N5.4RT,She was sure she left them in their usual spot.,47
3pF.N5.5RT,"Not having found anything, she feels frustrated.",48
3pF.N6.1RT,Maureen has never read a book that fast.,40
3pF.N6.2RT,"From the beginning, she could not put it down, because she empathizes with the main character.",94
3pF.N6.3RT,She been enjoying every minute of reading and shared every thrill described by the author,89
3pF.N6.4RT,"However, the death of the main character at the end was not only a surprise, but a disaster.",92
3pF.N6.5RT,"After having closed the book, she feels miserable.",50
2p.P1.1RT,"With a full bag in your hand, you make your way home. ",54
2p.P1.2RT,"It feels quite heavy, but that does not really matter. ",55
2p.P1.3RT,You had assumed that you would have to spend so much more today.,64
2p.P1.4RT,"You had been trying to save up for a while, and got some real bargains.",71
2p.P1.5RT,You look at your bag with great satisfaction.,45
2p.P2.1RT,You had to wait for four years until the next world cup finally started.,72
2p.P2.2RT,Today is the first game and you have invited some of your friends to cheer for your team together.,98
2p.P2.3RT,"You have hung up flags of different countries, you took part in some bets to guess who is going to win and you planned on doing themed evenings depending on who is playing.",172
2p.P2.4RT,Passionately you set up the screen so everyone can see the match,64
2p.P3.1RT,Today is the first day you can finally stay at home without any interruptions.,78
2p.P3.2RT,In the last weeks you have not had a minute for yourself.,57
2p.P3.3RT,"Today, nobody will disturb you, and you do not have to go anywhere.",67
2p.P3.4RT,You longed for this day and finally it is here.,47
2p.P3.5RT,Sitting on the sofa you could not be more relaxed.,50
2p.P4.1RT,At least 10 people have already congratulated you on your success today.,72
2p.P4.2RT,You know that there are many more to come.,42
2p.P4.3RT,Everyone has said something very nice and they seem very impressed.,67
2p.P4.4RT,It is good to know that your efforts are appreciated and admired.,65
2p.P4.5RT,The result and the reactions today make you incredibly proud.,61
2p.P5.1RT,It was a perfect day.,21
2p.P5.2RT,"Yesterday, you were not sure how the meeting would turn out.",60
2p.P5.3RT,"You were prepared, but knew that some topics were more controversial than others.",81
2p.P5.4RT,"Now, you realize that it went better than you could have imagined.",66
2p.P5.5RT,All the tension is now forgotten.,33
2p.P5.6RT,"For you, this moment of relief is intense. ",43
